gene,score,logfoldchange,pval,pval_adj,cluster
Rpl23a,44.166092,13.425754,0.0,0.0,0
Marcksl1,41.31646,19.163988,0.0,0.0,0
Cul4a,35.83738,2.9752946,2.892184723276283e-281,1.598028465767589e-277,0
Dok5,35.803757,4.2122555,9.65356052499747e-281,4.0004354815589517e-277,0
Cd24a,34.642223,9.736415,5.849317310660553e-263,1.9391656748301867e-259,0
Rpl23a-ps3,32.81078,2.6203687,4.133145006097662e-236,8.563876452634356e-233,0
Gm9493,32.770386,2.5199983,1.5560159578178657e-235,2.865835612976549e-232,0
Gm8730,31.782656,2.552092,1.1240913053505545e-221,1.863293747749079e-218,0
Rpl31,31.009132,6.3170757,4.060051746761564e-211,6.118128886756336e-208,0
Tuba1a,29.819733,84.00149,2.1679499253363545e-195,2.994661496864618e-192,0
Lpl,29.535316,1.9941037,1.0138508211863703e-191,1.2927377855373288e-188,0
Neurod6,29.41206,6.169419,3.850453820932747e-190,4.558937323984372e-187,0
Rpl4,29.396353,6.7209873,6.114010873711537e-190,6.756389616176161e-187,0
Fkbp1a,29.05469,4.817939,1.3425755591671241e-185,1.3909082792971405e-182,0
Mllt11,28.737684,8.8549185,1.2910670234968586e-181,1.1889292767491071e-178,0
Bhlhe22,28.298817,2.5656817,3.5737788901050676e-176,3.117839941177979e-173,0
Eef2,28.18326,5.5711136,9.379839232114614e-175,7.774010755576592e-172,0
Rpl6l,27.500925,2.1040647,1.711499609203467e-166,1.3509436915312698e-163,0
Tuba1b,26.65725,2.9865408,1.4748432484794486e-156,1.0629131168171886e-153,0
Mmd,26.581049,2.571235,1.1243728106453684e-155,7.765668212190678e-153,0
Fam19a2,26.537184,1.721448,3.6106238046936897e-155,2.393988007464104e-152,0
Cox6a1,26.264647,4.0602193,4.8628634211161754e-152,2.985437928460064e-149,0
Rpl10,25.71909,7.4436617,7.149959551173564e-146,4.23277605429475e-143,0
Foxp1,25.600792,2.0697477,1.494884675419441e-144,8.544554613707811e-142,0
Snn,25.43684,2.0926309,9.872025646021542e-143,5.454623236948435e-140,0
Fabp7,36.38609,118.85122,7.065401633914655e-290,1.1711609748376933e-285,10
Dbi,36.14284,49.882816,4.82038442116921e-286,3.9951346082650415e-282,10
Apoe,35.101006,35.39155,6.506786573820616e-270,3.595216474921685e-266,10
Mfge8,34.57655,10.733601,5.689084715563889e-262,2.3575567061296755e-258,10
Mt3,33.79891,14.475343,2.0463061294413852e-250,6.78391408032408e-247,10
Phgdh,33.645313,8.359342,3.651038275341178e-248,1.0086601742009228e-244,10
Slc1a3,33.469955,9.701683,1.3192003207825928e-245,3.1238663596131797e-242,10
Mt1,33.135822,8.704971,9.063877446730391e-241,1.878035406962537e-237,10
Ndrg2,33.130924,8.79339,1.06634348694796e-240,1.9639677377388205e-237,10
Acot1,32.28679,7.149539,1.0720433345342255e-228,1.7770190313239322e-225,10
Cd9,32.180943,7.805569,3.261495572152135e-227,4.914777327635799e-224,10
Cst3,31.984383,50.735973,1.797965394095955e-224,2.292544182502658e-221,10
Aldoc,31.647617,13.888413,8.178042692255889e-220,9.682802547630971e-217,10
Ccnd2,30.459686,7.30954,8.915751504111075e-204,8.210416496230287e-201,10
Atp1a2,30.380926,5.7010765,9.813507938628586e-203,8.133435379535373e-200,10
Ptprz1,30.189203,9.563048,3.282717949131049e-200,2.5911587011807747e-197,10
Glul,29.939344,9.4308405,6.055722414685508e-197,4.3643328150359556e-194,10
Vim,29.892813,5.0228076,2.4400515247375465e-196,1.6178517629619827e-193,10
Cd63,29.608711,5.3375907,1.154270086245068e-192,7.086363314666017e-190,10
Hes5,28.909628,11.06003,9.035941983279389e-184,4.538781039843611e-181,10
